sequence,type,timestamp,uptime_s,temp_c,x_mg,y_mg,z_mg
1,BOOT,2026-08-08 15:58:51,111,26.0,0,0,0
2,SHOCK,2026-08-08 15:58:58,117,26.0,-116,-392,1612
3,MOTION_START,2026-08-08 15:58:58,117,26.0,-116,-392,1612
4,SHOCK,2026-08-08 15:59:01,120,26.0,240,652,1776
5,SHOCK,2026-08-08 15:59:02,121,26.0,-252,16,6144
6,TEMP,2026-08-08 15:59:02,121,26.0,-32,72,976
7,MOTION_END,2026-08-08 15:59:03,122,26.0,8,28,1000
8,TEMP,2026-08-08 16:00:02,182,25.8,8,20,1008
9,TEMP,2026-08-08 16:01:02,242,25.6,8,20,1004
10,TEMP,2026-08-08 16:02:02,302,26.9,-12,32,996
11,TEMP,2026-08-08 16:03:02,362,26.0,16,48,976
12,TEMP,2026-08-08 16:04:02,422,26.0,4,28,1000
13,MOTION_START,2026-08-08 16:04:30,450,26.1,-80,60,1204
14,MOTION_END,2026-08-08 16:04:31,451,26.1,-612,-212,884
15,MOTION_START,2026-08-08 16:04:32,452,26.1,-144,-12,1264
16,SHOCK,2026-08-08 16:04:34,454,26.1,-352,136,1592
17,SHOCK,2026-08-08 16:04:34,454,26.1,28,12,1904
18,MOTION_END,2026-08-08 16:04:36,455,26.1,4,20,1000
19,TEMP,2026-08-08 16:05:02,482,26.2,-4,-48,1052
20,TEMP,2026-08-08 16:06:02,542,26.5,16,0,984
21,TEMP,2026-08-08 16:07:04,603,26.7,0,-28,1036
22,TEMP,2026-08-08 16:07:17,615,26.7,0,-32,1044
23,BOOT,2026-08-08 16:13:34,0,NA,0,0,0
24,SHOCK,2026-08-08 16:13:35,1,NA,8,-644,1536
25,TEMP,2026-08-08 16:13:35,1,26.3,8,-644,1536
26,SHOCK,2026-08-08 16:13:36,2,26.3,216,-808,1604
27,SHOCK,2026-08-08 16:13:37,3,26.3,212,-160,1756
28,TEMP,2026-08-08 16:14:35,61,25.6,8,132,1000
29,TEMP,2026-08-08 16:15:35,121,25.6,4,152,1008
30,SHOCK,2026-08-08 16:16:14,160,25.6,-36,-276,1780
31,TEMP,2026-08-08 16:16:35,182,25.6,16,-32,1016
32,TEMP,2026-08-08 16:17:35,242,25.7,12,-40,1020
33,TEMP,2026-08-08 16:18:35,302,25.8,12,-48,1000
34,TEMP,2026-08-08 16:19:35,362,25.6,4,-36,1008
