DXL345加速度(mg)：X=8 Y=-4 Z=1004
CSV_BEGIN
session,timestamp,time_s,temp_c,motion,shock
1,2026-08-08 15:58:58,117,26.0,,YES
1,2026-08-08 15:58:58,117,26.0,START,
1,2026-08-08 15:59:01,120,26.0,,YES
1,2026-08-08 15:59:02,121,26.0,,YES
1,2026-08-08 15:59:02,121,26.0,,
1,2026-08-08 15:59:03,122,26.0,END,
1,2026-08-08 16:00:02,182,25.8,,
1,2026-08-08 16:01:02,242,25.6,,
1,2026-08-08 16:02:02,302,26.9,,
1,2026-08-08 16:03:02,362,26.0,,
1,2026-08-08 16:04:02,422,26.0,,
1,2026-08-08 16:04:30,450,26.1,START,
1,2026-08-08 16:04:31,451,26.1,END,
1,2026-08-08 16:04:32,452,26.1,START,
1,2026-08-08 16:04:34,454,26.1,,YES
1,2026-08-08 16:04:34,454,26.1,,YES
1,2026-08-08 16:04:36,455,26.1,END,
1,2026-08-08 16:05:02,482,26.2,,
1,2026-08-08 16:06:02,542,26.5,,
1,2026-08-08 16:07:04,603,26.7,,
1,2026-08-08 16:07:17,615,26.7,,
2,2026-08-08 16:13:35,1,NA,,YES
2,2026-08-08 16:13:35,1,26.3,,
2,2026-08-08 16:13:36,2,26.3,,YES
2,2026-08-08 16:13:37,3,26.3,,YES
2,2026-08-08 16:14:35,61,25.6,,
2,2026-08-08 16:15:35,121,25.6,,
2,2026-08-08 16:16:14,160,25.6,,YES
2,2026-08-08 16:16:35,182,25.6,,
2,2026-08-08 16:17:35,242,25.7,,
2,2026-08-08 16:18:35,302,25.8,,
2,2026-08-08 16:19:35,362,25.6,,
2,2026-08-08 16:20:35,422,25.3,,
2,2026-08-08 16:21:35,482,25.0,,
2,2026-08-08 16:22:37,544,24.8,,
2,2026-08-08 16:23:37,604,24.5,,
2,2026-08-08 16:24:37,664,24.3,,
2,2026-08-08 16:25:37,724,24.6,,
2,2026-08-08 16:26:37,784,24.9,,
2,2026-08-08 16:27:38,844,25.0,,
2,2026-08-08 16:28:38,904,25.1,,
2,2026-08-08 16:29:38,965,25.3,,
2,2026-08-08 16:30:40,1027,25.5,,
2,2026-08-08 16:31:40,1087,25.5,,
2,2026-08-08 16:32:40,1147,25.3,,
2,2026-08-08 16:33:40,1207,24.8,,
2,2026-08-08 16:34:40,1267,24.5,,
2,2026-08-08 16:35:40,1327,24.3,,
2,2026-08-08 16:36:40,1387,23.9,,
2,2026-08-08 16:37:40,1447,24.2,,
2,2026-08-08 16:38:40,1507,24.5,,
2,2026-08-08 16:39:40,1567,24.7,,
2,2026-08-08 16:40:40,1627,24.9,,
2,2026-08-08 16:41:41,1687,25.0,,
2,2026-08-08 16:42:43,1749,25.1,,
2,2026-08-08 16:43:45,1812,25.3,,
2,2026-08-08 16:44:45,1872,25.2,,
2,2026-08-08 16:45:45,1932,25.0,,
2,2026-08-08 16:46:45,1992,24.6,,
2,2026-08-08 16:47:45,2052,24.2,,
2,2026-08-08 16:48:45,2112,24.0,,
2,2026-08-08 16:49:45,2172,23.6,,
2,2026-08-08 16:50:45,2232,24.0,,
2,2026-08-08 16:51:47,2294,24.3,,
2,2026-08-08 16:52:47,2354,24.5,,
2,2026-08-08 16:53:47,2414,24.7,,
2,2026-08-08 16:54:48,2474,24.8,,
2,2026-08-08 16:55:48,2534,25.1,,
2,2026-08-08 16:56:48,2595,25.1,,
2,2026-08-08 16:57:48,2655,25.2,,
2,2026-08-08 16:58:48,2715,25.0,,
2,2026-08-08 16:59:48,2775,24.7,,
2,2026-08-08 17:00:48,2835,24.5,,
2,2026-08-08 17:01:48,2895,24.1,,
2,2026-08-08 17:02:48,2955,23.8,,
2,2026-08-08 17:03:48,3015,23.8,,
2,2026-08-08 17:04:50,3077,24.1,,
2,2026-08-08 17:05:50,3137,24.4,,
2,2026-08-08 17:06:50,3197,24.6,,
3,2026-08-08 17:07:32,1,24.8,,
4,2026-08-08 17:07:43,7,24.8,,
4,2026-08-08 17:08:09,33,25.0,,YES
4,2026-08-08 17:08:14,38,25.0,,YES
4,2026-08-08 17:08:21,45,25.0,,YES
4,2026-08-08 17:08:31,55,25.0,START,
4,2026-08-08 17:08:33,57,25.0,,YES
4,2026-08-08 17:08:36,60,25.1,END,
4,2026-08-08 17:08:43,67,25.1,,
4,2026-08-08 17:09:07,91,25.1,,YES
4,2026-08-08 17:09:11,95,25.1,,YES
4,2026-08-08 17:09:18,102,25.1,,YES
4,2026-08-08 17:09:43,128,25.2,,
4,2026-08-08 17:10:43,188,25.3,,
4,2026-08-08 17:11:43,248,25.1,,
5,2026-08-08 17:13:07,1,25.1,,
5,2026-08-08 17:13:12,6,25.1,,YES
5,2026-08-08 17:13:24,19,25.1,START,
5,2026-08-08 17:13:37,31,25.3,END,
5,2026-08-08 17:13:39,33,25.3,,YES
5,2026-08-08 17:13:40,34,25.3,,YES
5,2026-08-08 17:14:06,60,25.1,,YES
5,2026-08-08 17:14:12,66,25.1,START,
5,2026-08-08 17:14:14,68,25.1,,YES
5,2026-08-08 17:14:19,73,25.2,,YES
5,2026-08-08 17:14:21,75,25.2,END,
5,2026-08-08 17:15:00,114,25.1,START,
5,2026-08-08 17:15:04,118,25.1,,YES
5,2026-08-08 17:15:07,121,25.1,,YES
5,2026-08-08 17:15:08,122,25.1,,YES
5,2026-08-08 17:15:12,126,25.1,,YES
5,2026-08-08 17:15:18,132,25.1,END,
5,2026-08-08 17:15:52,165,24.9,,
5,2026-08-08 17:16:52,225,25.0,,
5,2026-08-08 17:16:58,232,25.1,,YES
6,2026-08-08 17:18:29,1,25.1,,
7,2026-08-08 17:22:06,1,25.3,,
7,2026-08-08 17:23:27,82,25.6,,YES
7,2026-08-08 17:23:33,88,25.6,,YES
7,2026-08-08 17:23:43,98,25.8,START,
7,2026-08-08 17:23:46,101,25.8,,YES
7,2026-08-08 17:23:48,103,25.9,,YES
7,2026-08-08 17:23:51,106,26.0,,YES
7,2026-08-08 17:23:58,113,26.0,,YES
7,2026-08-08 17:24:18,134,26.0,,
7,2026-08-08 17:24:21,136,26.0,END,
7,2026-08-08 17:24:35,150,26.0,,YES
7,2026-08-08 17:24:43,158,26.1,START,
7,2026-08-08 17:24:57,172,26.7,,YES
7,2026-08-08 17:24:58,173,26.7,,YES
7,2026-08-08 17:25:10,185,27.0,,YES
7,2026-08-08 17:25:11,186,27.0,,YES
7,2026-08-08 17:25:12,187,27.0,,YES
7,2026-08-08 17:25:13,188,27.1,,YES
7,2026-08-08 17:25:16,191,27.1,,YES
7,2026-08-08 17:25:30,206,27.0,,
7,2026-08-08 17:25:32,207,27.0,END,
7,2026-08-08 17:26:30,266,26.4,,
8,2026-08-08 17:40:39,1,25.7,,
8,2026-08-08 17:41:40,62,25.5,,YES
8,2026-08-08 17:41:48,70,25.6,,YES
9,2026-08-08 17:42:54,1,25.9,,
10,2026-08-08 17:43:19,1,25.5,,
10,2026-08-08 17:43:31,13,25.5,,YES
10,2026-08-08 17:43:38,20,25.3,START,
10,2026-08-08 17:43:59,41,25.1,,
10,2026-08-08 17:44:00,43,25.1,START,
10,2026-08-08 17:44:02,45,25.1,,YES
10,2026-08-08 17:44:24,67,24.8,,YES
10,2026-08-08 17:45:01,104,24.6,,
10,2026-08-08 17:46:05,168,24.4,,
10,2026-08-08 17:47:06,228,24.4,,
10,2026-08-08 17:48:06,288,24.6,,
10,2026-08-08 17:49:06,348,24.8,,
11,2026-08-08 17:49:39,1,25.0,,
11,2026-08-08 17:50:32,55,25.1,START,
11,2026-08-08 17:50:37,60,NA,,YES
11,2026-08-08 17:50:39,61,25.1,,
11,2026-08-08 17:50:40,63,25.1,,YES
11,2026-08-08 17:51:39,121,25.2,,
11,2026-08-08 17:52:41,184,25.3,,
11,2026-08-08 17:53:35,238,25.5,END,
11,2026-08-08 17:53:41,244,25.5,,
11,2026-08-08 17:53:53,256,25.4,START,
11,2026-08-08 17:53:57,259,25.5,END,
11,2026-08-08 17:54:01,263,25.5,START,
11,2026-08-08 17:54:05,267,25.4,,YES
11,2026-08-08 17:54:08,270,25.3,END,
11,2026-08-08 17:54:12,274,25.3,START,
11,2026-08-08 17:54:16,278,25.3,END,
11,2026-08-08 17:54:18,280,25.3,START,
11,2026-08-08 17:54:18,280,25.3,,YES
11,2026-08-08 17:54:28,290,25.3,END,
11,2026-08-08 17:54:42,304,25.1,,
12,2026-08-08 17:55:15,1,24.8,,
12,2026-08-08 17:56:15,61,24.5,,
12,2026-08-08 17:56:38,85,24.5,START,
